,,,,,,,,,,,,,,,,,,,,,,,,,,
数据导出日期为2023-02-02，点击企业名称可查看最新数据。更多企业信息请访问：aiqicha.baidu.com ,,,,,,,,,,,,,,,,,,,,,,,,,,
企业名称,经营状态,法定代表人,注册资本,实缴资本,成立日期,核准日期,营业期限,所属省份,所属城市,所属区县,电话,更多电话,邮箱,更多邮箱,统一社会信用代码,纳税人识别号,工商注册号,组织机构代码,参保人数,企业类型,所属行业,曾用名,注册地址,最新年报地址,网址,经营范围
深圳宝多多装饰装修有限公司,开业,袁红利,"3,000万(元)",-,2021-07-08,2021-07-08,-,广东省,深圳市,南山区,15367188609,-,191122499@qq.com,-,91440300MA5GW7NJ67,91440300MA5GW7NJ67,440300214287156,MA5GW7NJ-6,0人,有限责任公司(法人独资),建筑装饰、装修和其他建筑业,-,深圳市南山区粤海街道麻岭社区高新中二道2号 深圳软件园2栋B321,深圳市南山区粤海街道麻岭社区高新中二道2号 深圳软件园2栋B321,-,一般经营项目是：工程管理服务；平面设计；建筑装饰、水暖管道零件及其他建筑用金属制品制造；建筑材料销售；音响设备销售；门窗销售；五金产品批发；制冷、空调设备销售；家用电器安装服务；广告发布（广播电台、电视台、报刊出版单位）；广告发布（非广播电台、电视台、报刊出版单位）；广告设计、代理；集贸市场管理服务；企业管理；会议及展览服务；信息咨询服务（不含许可类信息咨询服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；住房租赁；非居住房地产租赁；房屋拆迁服务；家政服务；居民日常生活服务；针纺织品及原料销售；服装服饰批发；服装服饰零售；鞋帽批发；鞋帽零售；家具销售；家具安装和维修服务；玩具销售；工艺美术品及收藏品批发（象牙及其制品除外）；文具用品批发；办公用品销售；皮革制品销售；第一类医疗器械销售；电子产品销售；企业形象策划；市场营销策划；品牌管理；专业设计服务；普通机械设备安装服务；互联网销售（除销售需要许可的商品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：住宅室内装饰装修；建设工程设计；建筑智能化工程施工；各类工程建设活动；房地产经纪；物业管理；第二类医疗器械销售；第三类医疗器械经营；互联网信息服务；货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市恒佳装修装饰工程有限公司,开业,周志远,"5,000万(元)",-,2020-07-09,2021-05-10,-,广东省,深圳市,罗湖区,13728690281,0755-82280309,2372212475@qq.com,-,91440300MA5G9N23XN,91440300MA5G9N23XN,440300210760906,MA5G9N23-X,0人,有限责任公司(法人独资),土木工程建筑业,-,深圳市罗湖区南湖街道罗湖桥社区人民南路1001号华民大厦10楼F,深圳市罗湖区南湖街道罗湖桥社区人民南路1001号华民大厦10楼F,-,一般经营项目是：建筑工程的设计与施工；装修装饰工程；房屋建筑工程施工总承包，市政公用工程施工总承包，公路工程施工总承包，水利水电工程施工总承包，地基与基础工程设计与施工，建筑幕墙工程设计与施工，地质灾害工程专业承包，结构补强工程专业承包，城市及道路照明工程专业承包，预应力工程承包，建筑劳务分包，园林绿化；钢结构工程；土石方工程专业承包，水电安装工程；机电安装工程；给排水工程；环保工程；建筑装饰材料的购销；建筑运输机械租售；园林绿化养护管理工程；港口和航道工程；电力工程施工总承包；通信工程施工；起重设备安装工程；电子与智能化工程；消防设施工程；防水防腐保温工程；桥梁工程；隧道工程；模板脚手架工程；古建筑工程；公路交通工程、公路工程、机电工程的施工。（以上企业经营涉及行政许可的，须取得行政许可文件后方可经营）。，许可经营项目是：无
深圳市古霖装修有限公司,开业,余剑,"2,000万(元)",-,2021-03-12,2021-09-23,-,广东省,深圳市,宝安区,18923838606,-,18923838606@qq.com,-,91440300MA5GMUXQ5C,91440300MA5GMUXQ5C,440300213118207,MA5GMUXQ-5,-,有限责任公司(法人独资),建筑装饰、装修和其他建筑业,-,深圳市宝安区石岩街道浪心社区松白路2202号宏源发花卉苗木产业园D栋203,深圳市宝安区石岩街道浪心社区松白路2202号宏源发花卉苗木产业园D栋203,-,一般经营项目是：屋建筑工程、市政公用工程、水利水电工程、钢结构工程、建筑防水、防腐保温工程、环保工程、公路工程、土石方工程的施工，建筑装修装饰工程、建筑幕墙工程、地基与基础工程、消防设施工程、机电设备安装工程的专业承包；机械设备租赁；建筑装饰工程设计、施工；再生建筑材料、新型装饰材料的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动），许可经营项目是：起重设备安装服务 ；建筑劳务分包。
深圳市广鑫装修装饰工程有限公司,开业,朱和平,"5,000万(元)",-,2020-08-03,2021-12-20,-,广东省,深圳市,罗湖区,13728690281,18823870664,2372212475@qq.com,-,91440300MA5GAY5Y84,91440300MA5GAY5Y84,440300211047579,MA5GAY5Y-8,0人,有限责任公司(法人独资),土木工程建筑业,-,深圳市罗湖区东晓街道兰花社区布吉路1005号丰湖大厦丰瑞阁12F,深圳市罗湖区东晓街道兰花社区布吉路1005号丰湖大厦丰瑞阁12F,-,一般经营项目是：建筑工程的设计与施工；装修装饰工程；房屋建筑工程施工总承包，市政公用工程施工总承包，公路工程施工总承包，水利水电工程施工总承包；地基与基础工程设计与施工，建筑幕墙工程设计与施工，地质灾害工程专业承包，结构补强工程专业承包，城市及道路照明工程专业承包，预应力工程承包，建筑劳务分包，园林绿化；钢结构工程；土石方工程专业承包，水电安装工程；机电安装工程；给排水工程；环保工程；建筑装饰材料的购销；建筑机械设备的租赁、销售；园林绿化养护管理工程；港口和航道工程；电力工程施工总承包；通信工程施工；起重设备安装工程；电子与智能化工程；消防设施工程；防水防腐保温工程；桥梁工程；隧道工程；模板脚手架工程；古建筑工程；公路工程、机电工程的施工。（企业经营涉及行政许可的，须取得行政许可文件后方可经营），许可经营项目是：无
深圳市祥龙装修装饰工程有限公司,开业,谭维亮,"5,000万(元)",-,2021-05-11,2021-05-11,-,广东省,深圳市,龙岗区,13692229940,-,-,-,91440300MA5GR83T6K,91440300MA5GR83T6K,440300213720272,MA5GR83T-6,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,-,深圳市龙岗区宝龙街道同乐社区水田路39号D栋101,-,一般经营项目是：室内外装饰、装修，建筑工程设计、施工；建筑材料及器材的技术开发与销售；国内贸易，经营进出口业务。，许可经营项目是：无
深圳市渝跃装修有限公司,开业,刘家锣,"1,550万(元)",-,2021-06-21,2022-05-11,2021-06-21 至 9999-12-31,广东省,深圳市,宝安区,15123205323,-,15123205323@139.com,-,91440300MA5GUD5H0N,91440300MA5GUD5H0N,440300214122039,MA5GUD5H-0,0人,有限责任公司,土木工程建筑业,-,深圳市宝安区石岩街道龙腾社区荔湖花园6号403,深圳市宝安区石岩街道龙腾社区荔湖花园6号403,-,一般经营项目是：园林绿化工程施工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：房屋建筑和市政基础设施项目工程总承包；各类工程建设活动；施工专业作业；住宅室内装饰装修；建筑物拆除作业（爆破作业除外）；建筑劳务分包。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳海龙装修装饰有限公司,开业,叶有美,"1,600万(元)",-,2020-08-04,2020-08-04,-,广东省,深圳市,深圳市,13879376666,-,763791188@qq.com,13879376666@qq.com,91440300MA5GB2LY8N,91440300MA5GB2LY8N,440300211069295,MA5GB2LY-8,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市前海深港合作区南山街道桂湾五路56号前海卓越金融中心一期4栋03H,深圳市前海深港合作区南山街道桂湾五路56号前海卓越金融中心一期4栋03H,-,一般经营项目是：国内贸易代理；园林绿化工程施工；工程管理服务；土石方工程施工；建筑装饰材料销售；建筑物清洁服务；家具安装和维修服务；金属门窗工程施工；专业设计服务；住宅水电安装维护服务；劳务服务（不含劳务派遣）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：各类工程建设活动；建设工程设计；住宅室内装饰装修。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市云辰装修工程有限公司,开业,姚凤,"2,000万(元)",-,2021-03-01,2022-09-29,2021-03-01 至 9999-12-31,广东省,深圳市,龙岗区,18002538646,-,864333201@qq.com,-,91440300MA5GM4EN9B,91440300MA5GM4EN9B,440300212984121,MA5GM4EN-9,-,有限责任公司,土木工程建筑业,-,深圳市龙岗区龙岗街道新生社区集银皮革综合广场C栋C254,深圳市龙岗区龙岗街道新生社区集银皮革综合广场C栋C254,-,一般经营项目是：建筑装修装饰工程；室内外安全自动化监控系统；园林绿化工程；体育场地设施工程；土石方工程；古建筑工程；金属门窗工程；建筑幕墙工程；钢结构工程；建筑智能化工程；消防设施工程；房地产开发；建筑材料、酒店用品批发与零售；建筑、市政公用、机电工程的设计与施工；建筑机电安装工程、电子与智能化；地基基础；防水防腐保温；环保工程；特种工程；水利水电；广告设计与制作。（以上范围中涉及国家专项审批的，按审批的项目和时限开展经营）。，许可经营项目是：无
深圳市聚茂凯装修工程有限公司,开业,李春江,"2,500万(元)",-,2020-07-27,2022-08-23,2020-07-27 至 9999-12-31,广东省,深圳市,盐田区,13728690281,18823870664,2372212475@qq.com,-,91440300MA5GALEF43,91440300MA5GALEF43,440300210989306,MA5GALEF-4,0人,有限责任公司(法人独资),土木工程建筑业,-,深圳市盐田区盐田街道沿港社区深盐路1289号海港大厦708,深圳市盐田区盐田街道沿港社区深盐路1289号海港大厦708,-,一般经营项目是：，许可经营项目是：建筑工程的设计与施工；装修装饰工程；房屋建筑工程施工总承包，市政公用工程施工总承包，公路工程施工总承包，水利水电工程施工总承包，地基与基础工程设计与施工，建筑幕墙工程设计与施工，地质灾害工程专业承包，结构补强工程专业承包，城市及道路照明工程专业承包，预应力工程承包，建筑劳务分包，园林绿化；钢结构工程；土石方工程专业承包，水电安装工程；机电安装工程；给排水工程；环保工程；建筑装饰材料的购销；建筑运输机械租售；园林绿化养护管理工程；港口和航道工程；电力工程施工总承包；通信工程施工；起重设备安装工程；电子与智能化工程；消防设施工程；防水防腐保温工程；桥梁工程；隧道工程；模板脚手架工程；古建筑工程；公路交通工程、公路工程、机电工程的施工
深圳市艺诚装修工程有限公司,开业,唐林,500万(元),-,2021-05-11,2021-06-17,-,广东省,深圳市,宝安区,13410678908,-,-,-,91440300MA5GR9F40M,91440300MA5GR9F40M,440300213727334,MA5GR9F4-0,0人,有限责任公司(法人独资),建筑装饰、装修和其他建筑业,-,深圳市宝安区新安街道文汇社区新安四路263号旭仕达名苑220,深圳市宝安区新安街道文汇社区新安四路263号旭仕达名苑220,-,一般经营项目是：装饰装修工程、建筑工程、维修保养、室内外装饰工程设计；城市园林绿化工程、机电设备安装工程的设计与施工；五金建材、建筑材料、装饰材料的销售；市政公用工程；建筑幕墙工程；建筑智能化工程；消防设施工程；城市及道路照明工程；钢结构工程；土石方工程；水土保持工程；环保工程；建筑劳务分包；幕墙设计；建筑工程设计；园林景观设计；展览设计；美术设计；环境艺术设计；装饰设计；国内贸易。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外; 依法须经批准的项目，经相关部门批准后方可开展经营活动。），许可经营项目是：无
深圳市瑞莱悦装修有限公司,开业,李富军,500万(元),-,2021-08-24,2021-08-24,-,广东省,深圳市,龙岗区,18723650809,-,2851122669@qq.com,-,91440300MA5GY8A87J,91440300MA5GY8A87J,440300214667517,MA5GY8A8-7,0人,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,-,深圳市龙岗区宝龙街道龙东社区三和村一区30号205,深圳市龙岗区宝龙街道龙东社区三和村一区30号205,-,一般经营项目是：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；建筑材料销售；国内贸易代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：住宅室内装饰装修；建设工程设计；建设工程施工；技术进出口；货物进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳市晨晖装修工程有限公司,开业,汤梦,"2,000万(元)",-,2020-07-27,2022-11-09,2020-07-27 至 9999-12-31,广东省,深圳市,宝安区,13728690281,0755-82280309,2372212475@qq.com,-,91440300MA5GAL6T8D,91440300MA5GAL6T8D,440300210988107,MA5GAL6T-8,0人,有限责任公司(法人独资),房屋建筑业,-,深圳市宝安区福海街道桥头社区宝安大道6301号伟丰大厦303,深圳市宝安区福海街道桥头社区宝安大道6301号伟丰大厦303,-,一般经营项目是：建筑工程的施工；装修装饰工程；房屋建筑工程施工总承包，市政公用工程施工总承包，公路工程施工总承包，水利水电工程施工总承包，地基与基础工程设计与施工，建筑幕墙工程设计与施工，地质灾害工程专业承包，结构补强工程专业承包，城市及道路照明工程专业承包，预应力工程承包；钢结构工程；土石方工程专业承包，水电安装工程；机电安装工程；给排水工程；环保工程；园林绿化养护管理工程；港口和航道工程；电力工程施工总承包；通信工程施工；起重设备安装工程；电子与智能化工程；消防设施工程；防水防腐保温工程；桥梁工程；隧道工程；模板脚手架工程；古建筑工程；公路交通工程、公路工程、公路路面工程、公路路基工程、机电工程的施工。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外，限制的项目须取得许可后方可经营），许可经营项目是
深圳市唐轩装修工程有限公司,开业,薛龙高,"2,000万(元)",-,2020-09-24,2021-03-15,-,广东省,深圳市,龙岗区,13728690281,18823870664,2372212475@qq.com,-,91440300MA5GDGXM5U,91440300MA5GDGXM5U,440300211510368,MA5GDGXM-5,0人,有限责任公司(法人独资),房屋建筑业,-,深圳市龙岗区龙城街道吉祥社区西埔路88号万科天誉花园8栋161,深圳市龙岗区龙城街道吉祥社区西埔路88号万科天誉花园8栋161,-,一般经营项目是：建筑工程的设计与施工；装修装饰工程；房屋建筑工程施工总承包，市政公用工程施工总承包，公路工程施工总承包，水利水电工程施工总承包，地基与基础工程设计与施工，建筑幕墙工程设计与施工，地质灾害工程专业承包，结构补强工程专业承包，城市及道路照明工程专业承包，预应力工程承包，建筑劳务分包，园林绿化；钢结构工程；土石方工程专业承包，水电安装工程；机电安装工程；给排水工程；环保工程；建筑装饰材料的购销；建筑运输机械租售；园林绿化养护管理工程；港口和航道工程；电力工程施工总承包；通信工程施工；起重设备安装工程；电子与智能化工程；消防设施工程；防水防腐保温工程；桥梁工程；隧道工程；模板脚手架工程；古建筑工程；公路交通工程、公路工程、机电工程的施工；，许可经营项目是：无
深圳市耀曦装修工程有限公司,开业,冯旭,"2,000万(元)",-,2021-02-26,2022-01-14,2021-02-26 至 9999-12-31,广东省,深圳市,龙岗区,18002538646,-,864333201@qq.com,-,91440300MA5GM2J4XY,91440300MA5GM2J4XY,440300212973282,MA5GM2J4-X,-,有限责任公司,土木工程建筑业,-,深圳市龙岗区横岗街道松柏社区龙岗大道（横岗段）5008号港信达横岗大厦1615,圳市龙岗区横岗街道松柏社区龙岗大道（横岗段）5008号港信达横岗大厦1615,-,一般经营项目是：，许可经营项目是：房屋建设工程、公路工程、水利水电工程、市政公用工程、桥梁工程、城市及道路照明工程、电力工程、隧道工程、公路路基工程、公路路面工程、土石方工程、钢结构工程、建筑装修装饰工程、园林绿化工程的设计与施工。
深圳国刚装修服务有限公司,开业,王刚,100万(元),-,2020-10-30,2021-03-17,-,广东省,深圳市,龙岗区,18475614445,-,1790297046@qq.com,-,91440300MA5GFB8J99,91440300MA5GFB8J99,440300211846546,MA5GFB8J-9,0人,有限责任公司,建筑装饰、装修和其他建筑业,-,深圳市龙岗区龙城街道新联社区龙石路62号303,深圳市龙岗区龙城街道新联社区龙石路62号303,-,一般经营项目是：室内、外装修装饰施工服务；建筑涂装工程；室内装潢工程。，许可经营项目是：无
深圳市裕垣装饰装修工程有限公司,开业,汪新博,"3,000万(元)",-,2020-07-15,2021-12-08,-,广东省,深圳市,龙岗区,13728690281,-,-,-,91440300MA5GA0GT49,91440300MA5GA0GT49,440300210820591,MA5GA0GT-4,0人,有限责任公司(法人独资),土木工程建筑业,-,深圳市龙岗区龙城街道黄阁坑社区黄阁北路449号龙岗天安数码创新园二号厂房B703,深圳市龙岗区龙城街道黄阁坑社区黄阁北路449号龙岗天安数码创新园二号厂房B703,-,一般经营项目是：建筑工程的设计与施工；装修装饰工程；房屋建筑工程施工总承包，市政公用工程施工总承包，公路工程施工总承包，水利水电工程施工总承包，地基与基础工程设计与施工，建筑幕墙工程设计与施工，地质灾害工程专业承包，结构补强工程专业承包，城市及道路照明工程专业承包，预应力工程承包，建筑劳务分包，园林绿化；钢结构工程；土石方工程专业承包，水电安装工程；机电安装工程；给排水工程；环保工程；建筑装饰材料的购销；建筑运输机械租售；园林绿化养护管理工程；港口和航道工程；电力工程施工总承包；通信工程施工；起重设备安装工程；电子与智能化工程；消防设施工程；防水防腐保温工程；桥梁工程；隧道工程；模板脚手架工程；古建筑工程；公路交通工程、公路工程、机电工程的施工；，许可经营项目是：无
深圳和泰建筑装修有限公司,开业,肖汉生,"6,613万(元)",-,2021-06-08,2022-07-08,2021-06-08 至 9999-12-31,广东省,深圳市,福田区,13425159808,-,13425159808@163.com,-,91440300MA5GTTMWXW,91440300MA5GTTMWXW,440300214015021,MA5GTTMW-X,-,有限责任公司,建筑装饰、装修和其他建筑业,深圳市盛东建设工程有限公司,深圳市福田区福保街道福保社区红花路99号 长平商务大厦1718,深圳市龙岗区南湾街道南新社区布沙路181号302,-,一般经营项目是：工程管理服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；安全咨询服务；建筑工程机械与设备租赁；招投标代理服务；园林绿化工程施工；金属门窗工程施工；建筑装饰材料销售；环境保护专用设备销售；金属材料销售；建筑材料销售；木材销售；建筑防水卷材产品销售；机械电气设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：对外承包工程；工程造价咨询业务；住宅室内装饰装修；建设工程监理；建设工程设计；建筑劳务分包；房屋建筑和市政基础设施项目工程总承包；建设工程施工；建筑智能化工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
